dataset,dataset_name,domain,year,run_id,n_rows,n_features,positive_rate,best_brier_method,best_brier,best_ece_method,best_ece,best_log_method,best_log_loss,uncal_brier,brier_gain,beta_monotone
amazon_employee_access,Amazon_employee_access,business & marketing,2010.0,20260318T110329Z,32769,9,0.05789007903811529,isotonic,0.054167095372363,spline_fixed,5.233456015859536e-05,isotonic,0.2180648468594469,0.2495026303277218,0.1953355349553588,False
apsfailure,APSFailure,industry & manufacturing,2016.0,20260318T110634Z,76000,170,0.018092105263157895,isotonic,0.0113001889001873,isotonic,0.0020413705180971,isotonic,0.0492692267663662,0.2202909847646564,0.2089907958644691,True
bank-marketing,bank-marketing,finance,2012.0,20260318T115747Z,45211,13,0.11698480458295547,isotonic,0.087268507924291,isotonic,0.0074080380686752,haar_gridsearch_best,0.3053402225968357,0.1979838571896,0.11071534926530899,True
bank_customer_churn,Bank_Customer_Churn,finance,2020.0,20260318T115555Z,10000,10,0.2037,spline_fixed,0.138746374700015,isotonic,0.0172564937892021,haar_gridsearch_best,0.434689469927591,0.1979188712019072,0.05917249650189221,True
bioresponse,Bioresponse,biology & life sciences,2012.0,20260318T120659Z,3751,1776,0.4577446014396161,haar_gridsearch_best,0.1633846964529136,isotonic,0.0277563389696812,haar_gridsearch_best,0.4997653779982338,0.1654695504426904,0.0020848539897768137,True
blood-transfusion-service-center,blood-transfusion-service-center,medical & healthcare,2008.0,20260402T104615Z,748,4,0.23796791443850268,isotonic,0.147377346057735,isotonic,0.0502248647543949,beta,0.4579423509828774,0.1934294049688264,0.046052058911091404,True
churn,churn,business & marketing,2005.0,20260318T130947Z,1000,20,0.3,haar_gridsearch_best,0.1689077690158214,isotonic,0.0361344699305,haar_gridsearch_best,0.5094989772479818,0.190026339839416,0.021118570823594585,True
coil2000_insurance_policies,coil2000_insurance_policies,business & marketing,2000.0,20260318T131136Z,9822,85,0.059661983302789656,spline_fixed,0.0545890317859954,spline_fixed,0.0115366476372904,spline_fixed,0.2154231878666198,0.1949427650644261,0.1403537332784307,True
credit-card-clients-default,credit-card-clients-default,unknown,,20260401T135604Z,748,4,0.23796791443850268,haar_gridsearch_best,0.1481437578332949,isotonic,0.0475247087892043,beta,0.4574680144426431,0.1932778286241903,0.0451340707908954,True
credit-g,credit-g,finance,1994.0,20260318T132302Z,1000,20,0.3,haar_gridsearch_best,0.1689077690158214,isotonic,0.0361344699305,haar_gridsearch_best,0.5094989772479818,0.190026339839416,0.021118570823594585,True
